video_id,sent_comment,comment_text,author,date,time
46B-rfCAW4E,neutral,anh lam thêm mấy phần nữa đi hay quá,@quythanh7931,2025-05-15,15:49:30
46B-rfCAW4E,neutral,"Mong chú chơi hết series brokenlore, nó có mấy phần đấy chú",@MinhPham-mw7mr,2025-05-14,17:28:25
46B-rfCAW4E,neutral,34:22,@KimngânHuỳnh-w9o6p,2025-05-14,07:33:29
46B-rfCAW4E,neutral,Trời tiếng game giống tiếng chuông ở nha quá tưởng shipper bấm chuông chạy ra ngoài nhìn :)))),@yennhitrannguyen5657,2025-05-25,03:40:08
46B-rfCAW4E,neutral,Con mắt tượng trưng có cái nhìn sự phán xét của xã hội,@nguyentrung9133,2025-05-15,16:14:33
46B-rfCAW4E,neutral,anh lam thêm mấy phần nữa đi hay quá,@quythanh7931,2025-05-15,15:49:30
46B-rfCAW4E,neutral,"Mong chú chơi hết series brokenlore, nó có mấy phần đấy chú",@MinhPham-mw7mr,2025-05-14,17:28:25
46B-rfCAW4E,neutral,34:22,@KimngânHuỳnh-w9o6p,2025-05-14,07:33:29
w-Ed_FP_Jbw,neutral,Đệt đang ăn cơm coi 17:07 thấy cơm dở hẵn đi,@lenhatkhoa9122,2025-05-24,12:47:55
w-Ed_FP_Jbw,neutral,Có khi nào đang đi bị ma vếu dài hấp diêm hong,@huynhlong224,2025-05-24,12:09:26
w-Ed_FP_Jbw,neutral,Trà vinh quê t luôn 😂,@LewisNgUnknow,2025-05-22,03:53:59
w-Ed_FP_Jbw,neutral,Mịa quả jumscare phút 26 làm t hoảng vc,@quocbaole6747,2025-05-20,01:23:16
w-Ed_FP_Jbw,neutral,Đang tua nhanh tự nhiên lao lên cái giật cả mình 😂,@TuanNguyen-qo7gs,2025-05-17,12:21:48
w-Ed_FP_Jbw,neutral,Đệt đang ăn cơm coi 17:07 thấy cơm dở hẵn đi,@lenhatkhoa9122,2025-05-24,12:47:55
w-Ed_FP_Jbw,neutral,Có khi nào đang đi bị ma vếu dài hấp diêm hong,@huynhlong224,2025-05-24,12:09:26
w-Ed_FP_Jbw,neutral,Trà vinh quê t luôn 😂,@LewisNgUnknow,2025-05-22,03:53:59
w-Ed_FP_Jbw,neutral,Mịa quả jumscare phút 26 làm t hoảng vc,@quocbaole6747,2025-05-20,01:23:16
w-Ed_FP_Jbw,neutral,Đang tua nhanh tự nhiên lao lên cái giật cả mình 😂,@TuanNguyen-qo7gs,2025-05-17,12:21:48
w-Ed_FP_Jbw,neutral,Đệt đang ăn cơm coi 17:07 thấy cơm dở hẵn đi,@lenhatkhoa9122,2025-05-24,12:47:55
w-Ed_FP_Jbw,neutral,Có khi nào đang đi bị ma vếu dài hấp diêm hong,@huynhlong224,2025-05-24,12:09:26
w-Ed_FP_Jbw,neutral,Trà vinh quê t luôn 😂,@LewisNgUnknow,2025-05-22,03:53:59
w-Ed_FP_Jbw,neutral,Mịa quả jumscare phút 26 làm t hoảng vc,@quocbaole6747,2025-05-20,01:23:16
w-Ed_FP_Jbw,neutral,Đang tua nhanh tự nhiên lao lên cái giật cả mình 😂,@TuanNguyen-qo7gs,2025-05-17,12:21:48
w-Ed_FP_Jbw,neutral,Đệt đang ăn cơm coi 17:07 thấy cơm dở hẵn đi,@lenhatkhoa9122,2025-05-24,12:47:55
w-Ed_FP_Jbw,neutral,Có khi nào đang đi bị ma vếu dài hấp diêm hong,@huynhlong224,2025-05-24,12:09:26
w-Ed_FP_Jbw,neutral,Trà vinh quê t luôn 😂,@LewisNgUnknow,2025-05-22,03:53:59
w-Ed_FP_Jbw,neutral,Mịa quả jumscare phút 26 làm t hoảng vc,@quocbaole6747,2025-05-20,01:23:16
w-Ed_FP_Jbw,neutral,Đang tua nhanh tự nhiên lao lên cái giật cả mình 😂,@TuanNguyen-qo7gs,2025-05-17,12:21:48
w-Ed_FP_Jbw,neutral,Đệt đang ăn cơm coi 17:07 thấy cơm dở hẵn đi,@lenhatkhoa9122,2025-05-24,12:47:55
w-Ed_FP_Jbw,neutral,Có khi nào đang đi bị ma vếu dài hấp diêm hong,@huynhlong224,2025-05-24,12:09:26
w-Ed_FP_Jbw,neutral,Trà vinh quê t luôn 😂,@LewisNgUnknow,2025-05-22,03:53:59
w-Ed_FP_Jbw,neutral,Mịa quả jumscare phút 26 làm t hoảng vc,@quocbaole6747,2025-05-20,01:23:16
w-Ed_FP_Jbw,neutral,Đang tua nhanh tự nhiên lao lên cái giật cả mình 😂,@TuanNguyen-qo7gs,2025-05-17,12:21:48
u1wM5l5nyYw,neutral,"Khởi động lại Alan Wake 2 đi anh ơi, bảo sẽ chơi lại mà mấy hôm đã quên rồi.",@amegafuri,2025-05-30,18:52:44
u1wM5l5nyYw,neutral,game 1 hay mà ông lại tắt đoạn chat trực tiếp là thế méo nafoooo,@trinhtuankiet3442,2025-05-28,14:49:25
u1wM5l5nyYw,neutral,Rất nhiều ca 😂 nhưng mỗi ca 30p,@Omachi1993,2025-05-28,13:35:17
u1wM5l5nyYw,neutral,"""Video này không có tùy chọn phát lại cuộc trò chuyện trực tiếp"" :((( Lão ơi bật lênnn",@TungTran-hl8cc,2025-05-28,12:46:05
u1wM5l5nyYw,neutral,chơi blue prince đi anh,@anhquangnguyen5973,2025-05-27,22:32:25
u1wM5l5nyYw,negative,"Khởi động lại Alan Wake 2 đi anh ơi, bảo sẽ chơi lại mà mấy hôm đã quên rồi.",@amegafuri,2025-05-30,18:52:44
u1wM5l5nyYw,negative,game 1 hay mà ông lại tắt đoạn chat trực tiếp là thế méo nafoooo,@trinhtuankiet3442,2025-05-28,14:49:25
u1wM5l5nyYw,negative,Rất nhiều ca 😂 nhưng mỗi ca 30p,@Omachi1993,2025-05-28,13:35:17
u1wM5l5nyYw,negative,"""Video này không có tùy chọn phát lại cuộc trò chuyện trực tiếp"" :((( Lão ơi bật lênnn",@TungTran-hl8cc,2025-05-28,12:46:05
u1wM5l5nyYw,negative,chơi blue prince đi anh,@anhquangnguyen5973,2025-05-27,22:32:25
u1wM5l5nyYw,neutral,"Khởi động lại Alan Wake 2 đi anh ơi, bảo sẽ chơi lại mà mấy hôm đã quên rồi.",@amegafuri,2025-05-30,18:52:44
u1wM5l5nyYw,neutral,game 1 hay mà ông lại tắt đoạn chat trực tiếp là thế méo nafoooo,@trinhtuankiet3442,2025-05-28,14:49:25
u1wM5l5nyYw,neutral,Rất nhiều ca 😂 nhưng mỗi ca 30p,@Omachi1993,2025-05-28,13:35:17
u1wM5l5nyYw,neutral,"""Video này không có tùy chọn phát lại cuộc trò chuyện trực tiếp"" :((( Lão ơi bật lênnn",@TungTran-hl8cc,2025-05-28,12:46:05
u1wM5l5nyYw,neutral,chơi blue prince đi anh,@anhquangnguyen5973,2025-05-27,22:32:25
u1wM5l5nyYw,negative,"Khởi động lại Alan Wake 2 đi anh ơi, bảo sẽ chơi lại mà mấy hôm đã quên rồi.",@amegafuri,2025-05-30,18:52:44
